id,lesson_id,regola_testo
27,10,La forma tonica del possessivo si usa per dare enfasi o in un contesto di contrapposizione; altrimenti si preferisce la forma atona.
28,11,"Il griko distingue un dimostrativo di vicinanza (equivalente di ""questo/questa"") da uno di lontananza (equivalente di ""quello/quella""), entrambi declinabili per genere, numero e caso."
29,11,"Una particella rafforzativa puo' accompagnare il dimostrativo per sottolineare l'idea di ""qui"" o ""la'"": se il dimostrativo e' aggettivo la particella segue il nome, se e' pronome segue direttamente il pronome."
30,11,Il dimostrativo di lontananza puo' fungere anche da pronome personale di terza persona.
31,12,"Alcuni indefiniti cambiano significato a seconda del tipo di frase: in una frase negativa equivalgono a ""nessuno"", in una frase affermativa o interrogativa a ""qualcuno/qualche""."
32,12,"Alcuni indefiniti sono invariabili per genere e numero (equivalente di ""ogni""), mentre altri si declinano regolarmente come aggettivi qualificativi."
33,12,"Esiste una distinzione tra un indefinito che significa ""un altro diverso"" e uno che significa ""un altro in aggiunta"", resi con parole differenti."
34,13,"I numerali cardinali da uno a quattro (e i loro composti) si declinano per genere, mentre dal cinque in poi sono invariabili; la n finale di alcuni numerali cade o si mantiene con la stessa regola fonetica dell'articolo."
35,13,"Non esistono numerali ordinali oltre a ""primo"": per ""secondo, terzo..."" si usano i nomi dei giorni della settimana, il cui significato letterale e' ""secondo giorno"", ""terzo giorno"" e cosi' via."
36,13,"I numerali collettivi e distributivi hanno forme dedicate (equivalenti di ""migliaio"", ""coppia"", ""centinaio"", oppure di ""uno alla volta"")."
37,14,"Il pronome personale ha forme toniche (usate come soggetto o per dare enfasi) e forme atone, encliche o procliniche (usate come complemento)."
38,14,"Alla terza persona il pronome personale coincide con il dimostrativo di lontananza e distingue la forma ""di lui"" da ""di lei"" nel complemento di specificazione."
39,14,"La forma atona del complemento di specificazione (equivalente di ""di me/di te..."") si usa anche come particella dell'aggettivo possessivo."
40,15,"Esiste un interrogativo/esclamativo usato per le persone (equivalente di ""chi"") e uno usato per le cose (equivalente di ""che cosa""), quest'ultimo utilizzabile sia come pronome sia come aggettivo."
41,15,"Lo stesso termine funge da interrogativo in una frase interrogativa e da esclamativo in una frase esclamativa, a seconda del contesto."
42,15,"I pronomi relativi (equivalenti di ""che"", ""il quale"") hanno due varianti intercambiabili, una di origine greca e una di origine latina, usate senza una regola fissa."
43,16,Molti avverbi di modo si formano togliendo all'aggettivo la desinenza del nominativo singolare e aggiungendo una -a finale.
44,16,"Esistono serie distinte di avverbi di luogo e di tempo; alcuni avverbi di luogo composti nascono unendo due avverbi semplici (es. equivalente di ""qui"" + ""davanti"" per ""qui davanti"")."
45,17,"Esistono serie dedicate di avverbi di quantita' e di affermazione/negazione, il cui significato puo' invertirsi a seconda che la frase sia affermativa o negativa."
46,17,"Alcune congiunzioni introducono il secondo termine di paragone o hanno valore finale/consecutivo; un fenomeno di ""crasi"" (fusione di due parole in una) puo' intervenire tra una congiunzione e la parola seguente."
47,17,Le preposizioni articolate seguono la stessa regola fonetica dell'articolo per la caduta o il mantenimento della n finale davanti alla parola successiva.
48,18,"Il verbo griko ha tre forme: attiva, medio-passiva (equivalente al riflessivo italiano) e passiva vera e propria, quest'ultima poco usata perche' si preferisce girare la frase in forma attiva."
49,18,"Alcuni tempi verbali si formano dal tema del presente, altri dal tema dell'aoristo, che riunisce in un solo tempo sia il passato prossimo sia il passato remoto italiani."
50,18,"Il verbo puo' prendere un ""aumento"" (una vocale iniziale aggiunta) in alcuni tempi passati, ma non sempre: dipende dal fatto che il verbo cominci per consonante o vocale, e comunque l'aumento spesso non viene pronunciato nel parlato."
51,19,"Gli ausiliari equivalenti di ""avere"" ed ""essere"" si coniugano su presente, imperfetto (che coincide con l'aoristo), perfetto e piuccheperfetto, questi ultimi due tempi composti."
52,19,"Il presente congiuntivo si forma anteponendo una particella di valore finale al presente indicativo, spesso con caduta di una vocale (fenomeno di aferesi)."
53,19,"Il condizionale non ha una forma propria: si esprime con l'imperfetto indicativo, sia per l'ausiliare ""avere"" sia per l'ausiliare ""essere""."
54,20,"Il griko ha due coniugazioni regolari, distinte dalla posizione dell'accento (penultima o ultima sillaba della radice) e dalle desinenze della prima persona del presente."
55,20,"A differenza dell'italiano, che organizza la coniugazione per modo elencandone tutti i tempi, il griko la organizza per tema: dal tema del presente derivano presente, imperfetto e participio presente; dal tema dell'aoristo derivano aoristo, futuro, congiuntivo e participio aoristo."
56,20,"Il futuro non esiste come tempo proprio: si esprime con una perifrasi (verbo ""essere"" + congiunzione finale + presente) oppure semplicemente con il presente indicativo."
57,21,"La forma medio-passiva della seconda coniugazione condivide le stesse desinenze di quella della prima coniugazione, anche quando le due coniugazioni differiscono nella forma attiva."
58,21,"Alcuni verbi esistono solo in forma attiva, altri solo in forma medio-passiva pur avendo significato attivo, altri ancora possiedono entrambe le forme con significati diversi (attivo contro riflessivo)."
59,21,"Il participio perfetto (participio passato) si comporta come un vero aggettivo, con desinenze proprie per maschile, femminile e neutro."
60,22,"L'imperativo si forma dal tema dell'aoristo, sia nella forma attiva sia in quella medio-passiva, con desinenze proprie per la seconda persona singolare e plurale."
61,22,L'imperativo negativo non ha una forma diretta: si ricorre al congiuntivo aoristo preceduto da una particella negativa di valore finale.
62,22,"Alcuni verbi hanno un imperativo del tutto irregolare, non riconducibile alle desinenze regolari."
63,23,"Il participio presente (dal tema del presente) esprime un'azione contemporanea con valore temporale (""mentre...""), mentre il participio aoristo (dal tema dell'aoristo) ha valore condizionale/ipotetico (""se avessi..."")."
64,23,"Il participio perfetto si comporta come un aggettivo vero e proprio, con desinenze diverse per maschile, femminile e neutro, ed entra nella formazione dei tempi composti (perfetto, piuccheperfetto)."
65,23,"Il piuccheperfetto congiuntivo puo' tradursi in italiano sia con il congiuntivo trapassato sia con il condizionale passato, a seconda del contesto della frase."
66,24,"I verbi irregolari si riconoscono da anomalie nel tema o nella desinenza rispetto alle due coniugazioni regolari, e vanno quindi appresi caso per caso."
67,24,"Esistono verbi ed espressioni impersonali, usati solo alla terza persona singolare, che descrivono perlopiu' fenomeni atmosferici o il cambio di stagione (equivalenti di ""lampeggia"", ""piove"", ""nevica"", ""fa freddo/caldo"", ""albeggia"")."
68,24,"Alcune sensazioni fisiche (equivalenti di ""ho fame"", ""ho freddo"") si esprimono anch'esse in forma impersonale, diversamente dall'italiano che usa la prima persona del verbo ""avere""."
