id,lesson_id,parola_griko,parola_italiano
511,53,camula,nebbia/foschia
512,53,volumi,mucchio
513,53,copula,sfera di pietra/boccia
514,53,copuledda,polpetta di pane in brodo
515,53,lacunetta,nuca
516,53,lapistra,ramolaccio/rafano
517,53,latula,rucola a foglia larga
518,53,lumia,limone
519,53,mella,mela
520,53,pentima,grosso masso/rupe
521,53,piotta,brodo di cottura
522,53,silogatta,trappola per topi
523,53,striara,strega
524,53,scasini,pigrizia
525,53,tiedra,teglia
526,53,zagareto,fioritura
527,53,stanciula,gheppio
528,53,ascla,pezzo di tronco
529,53,merula,merla
530,53,tabla,tavola/asse di legno
531,53,viannova,strada nuova
532,54,ambugghia,bolla/foruncolo
533,54,aruggia,vivaio/semenzaio
534,54,grifa,sansa delle olive
535,54,granza,frisella di farina grossa d'orzo
536,54,esterna,cisterna
537,54,jurnata,giornata lavorativa
538,54,cioccia,piccola/bambina
539,54,gruppo,cripta/grotta
540,54,lumera,fiamma/luce
541,54,passiuna,passione
542,54,pungia,tasca/taschina
543,54,purgula,polvere
544,54,reccia,frisa d'orzo e grano
545,54,parrata,scrofa/suina
546,54,strada,strada
547,54,specchia,mucchio di pietre/punto d'osservazione
548,54,turri,torre
549,54,fusca,pula
550,54,cucuvascia,civetta
551,54,rapa,parte inferiore del tronco
552,54,spina,cuneo/zeppa
553,55,alatra,aratura
554,55,ampa,spinta
555,55,anapodia,irrequietezza dei bambini
556,55,arpa,arpia/mostro
557,55,afentia,autorità/signoria
558,55,catadicasia,condanna
559,55,lampa,fiammata/vampa
560,55,langa,breccia in un muro
561,55,magaria,stregoneria/fattura
562,55,paratomia,pasto offerto ai familiari di un defunto
563,55,pira,fuoco/calore
564,55,saccuna,pagliericcio/materassino
565,55,sicalinda,pianta di fico d'india
566,55,sirma,tiro/l'atto del tirare
567,55,scotinia,oscurità/tenebra
568,55,stavricola,lucertola
569,55,strolechia,rimprovero/straparlare
570,55,sìtsira,zia
571,55,smirna,sedano selvatico
572,55,anemi,arcolaio
573,55,sarcosti,quaresima
574,55,tenni,arte/mestiere/abilità
575,56,aderfecia,sorellina
576,56,celonaci,piccola tartaruga
577,56,cerulaci,manina
578,56,cefalaci,testolina
579,56,caletta,bellina/carina
580,56,monachedda,monachella
581,56,tripedda,buchetto
582,57,alupuna,volpe
583,57,chera,mano
584,57,nifta,notte
585,57,placa,chianca/lastra di pietra
586,57,carassa,fessura/fenditura
587,58,damalida,vitella/giovenca
588,58,culura,ciambella/dolce pasquale
589,58,salitedda,pipistrello
590,58,stafida,uva passa/uvetta
591,58,scordalida,aglio selvatico
592,59,agelada,mucca
593,59,prima,imbiancatura/pittura
594,59,dacca,morso
595,59,forada,cavalla/giumenta
596,59,filima,bacio
597,60,aderfi,sorella
598,60,cefali,testa/capo/mente
599,60,curiaci,domenica
600,60,petti,giovedì
601,60,zoì,vita
602,61,alesia,verità/il vero
603,61,celona,testuggine/tartaruga
604,61,nemera,giorno
605,61,grasta,vaso
606,61,mandra,recinto/ovile
607,62,alocaria,allegrezza/gioia/contentezza
608,62,drosia,rugiada
609,62,cardia,cuore
610,62,lamia,terrazza
611,62,ptochia,povertà
612,63,apidea,pero
613,63,milea,melo
614,63,rodea,rosaio/cespuglio di rose
615,63,suchea,fico (albero)
616,63,sulinea,ferro di cavallo/staffa
617,64,mira,parte/porzione
618,64,chara,gioia/allegrezza
619,64,alacati,conocchia
620,64,avli,corte/cortile
621,64,agapi,amore
622,65,apu,da
623,65,ma,con
624,65,akrisi,chiesa
625,65,martia,peccato
626,65,carti,carta/foglio
627,65,fori,paese/villaggio
628,65,lisari,pietra/sasso
629,65,mina,mese
630,65,podi,piede
631,65,pono,dolore/pena
632,65,psichì,anima
633,65,soma,corpo
634,66,i,gli (nom. m. pl.)
635,66,e,le (nom. f. pl.)
636,66,ta,i/le (neutro pl.)
637,66,tus,i (acc. m. pl.)
638,66,tes,le (acc. f. pl.)
639,66,ton,dei/ai (gen.-dat. pl.)
640,66,olo,tutto/intero
641,66,anemos,vento
642,66,lico,lupo
643,66,pratina,pecora
644,66,sidero,ferro
645,67,o,il (nom. m. sing.)
646,67,i,la (nom. f. sing.)
647,67,to,il/lo (neutro sing.)
648,67,tu,del/al (gen.-dat. m./neutro)
649,67,tis,della/alla (gen.-dat. f.)
650,67,ton,il (acc. m. sing.)
651,67,andra,marito
652,67,kirà,vedova
653,67,corto,erba/foraggio/fieno
654,67,dattilo,dito
655,67,manà,madre
656,67,patera,prete/sacerdote
657,67,spiti,casa
658,68,na,un/uno (m./neutro)
659,68,ena,uno (m./neutro)
660,68,mia,una (f. nom.)
661,68,mian,una (f. acc.)
662,68,anu,di un/a un (gen.-dat. m./neutro)
663,68,anis,di una/a una (gen.-dat. f.)
664,68,cipo,giardino/orto
665,68,foni,voce/grido
666,68,ora,volta/tempo
667,68,clama,pianto
668,68,orne,gallina
669,68,sciddo,cane
670,68,simeri,oggi
671,69,gala,latte
672,69,glossa,lingua
673,69,gonato,ginocchio
674,69,agapi,amore
675,69,lagò,lepre
676,69,gliceo,dolce
677,69,ampeli,vite
678,69,cosmo,mondo
679,69,endino,vesto
680,69,feo,vado via/fuggo
681,69,grafo,scrivo
682,70,imera,giorno
683,70,ipno,sonno/sogno
684,70,catera,figlia/ragazza
685,70,amilia,favella/discorso
686,70,agapao,amo
687,70,brady,sera
688,70,pedaci,bambino
689,70,evrisko,trovo/incontro
690,70,leo,dico
691,70,milo,spengo
692,71,ampari,cavallo
693,71,sinari,zappa
694,71,gramma,lettera
695,71,astrapi,lampo
696,71,sico,fico (frutto)
697,71,sichea,albero di fico
698,71,milo,mela
699,71,milea,melo
700,71,apidi,pera
701,71,apidea,pero
702,71,persico,pesca
703,72,cnida,ortica
704,72,cero,tempo opportuno
705,72,pedaci,bambino
706,72,velani,ghianda
707,72,addo,altro
708,72,filo,foglia
709,72,atera,resta di spiga
710,72,xilo,legno
711,72,frizza,radice
712,72,acrisia,chiesa
713,73,calimera,buongiorno
714,73,calispera,buonasera
715,73,sico,fico (frutto)
716,73,sichea,albero di fico
