id,lesson_id,regola_testo
118,56,Alcuni diminutivi conservano il significato antico della radice: caletta bellina da calè (anticamente bella).
119,57,Molti sostantivi femminili in -a derivano dall'accusativo della terza declinazione greca antica (es. alopos > alupuna volpe).
120,57,"La parola mano al plurale (cheria) si comporta come neutro per l'organo, ma è femminile in altri usi."
121,58,I sostantivi femminili in -ida derivano dall'accusativo (-ida) di termini della terza declinazione greca antica.
122,58,Talvolta l'ultima sillaba si pronuncia con dentale sorda (-ita) invece di sonora (-ida) secondo le parlate.
123,59,Molti sostantivi femminili in -a (con o senza -da finale) derivano localmente da verbi greci (es. prima imbiancatura da frio).
124,59,Casi come forada cavalla non si abbreviano per distinguerli da parole simili (ora volta/tempo).
125,60,"I sostantivi femminili in -i (accentata) derivano quasi tutti dalla prima declinazione greca antica, alcuni dalla terza."
126,60,"I giorni della settimana femminili derivano da numerali ordinali: petti giovedì (quinto), tetradi mercoledì (quarto), triti martedì (terzo)."
127,61,"Altri sostantivi femminili in -a derivano dalla prima declinazione greca antica (es. celona testuggine, nemera giorno)."
128,61,"Molti nomi mantengono desinenza in -a di origine dorica, tipica della lingua greco-salentina."
129,62,I sostantivi femminili in -ia derivano quasi tutti dalla prima declinazione greca antica (spesso da aggettivi o verbi).
130,62,"Alcuni sono termini più letterari o caduti in disuso, talora con significato traslato."
131,63,I sostantivi femminili in -ea derivano da un'antica desinenza in -ea; i nomi di piante/alberi sono femminili.
132,63,Spesso il nome dell'albero (femminile in -ea) si affianca a quello del frutto (neutro): es. caridi noce > caridea noce (albero).
133,64,"I sostantivi femminili derivano dalla prima declinazione (terminano in -a o -i) o dalla terza (forma dell'accusativo, di solito in -a)."
134,64,Genitivo/dativo e vocativo singolare hanno la stessa forma del nominativo; l'accusativo singolare termina in -n.
135,64,"gine donna (acc. inaica) e chiatera figlia (acc. sulatera) hanno gen./dat. plurale con accento sull'ultima (inecos, chiateron)."
136,65,"Le preposizioni articolate si formano unendo la preposizione con l'articolo determinativo all'accusativo, nei tre generi e due numeri; tra vocali le parole si fondono."
137,65,"Quando nell'incontro di due vocali resta una sola vocale, su di essa si pone l'accento circonflesso; se cade la vocale iniziale della preposizione, niente circonflesso."
138,65,"Preposizioni base: apu/api/apo (da), gli/i (per), ma (con), (e)s/sto (su, in); es. atto/attu (dai, dal), stes/stin (sulle, nel)."
139,66,"L'articolo determinativo plurale ha tre generi: al nominativo m. e f. sono uguali (i/e), il neutro è ta; l'accusativo distingue tus (m.) e tes (f.), il neutro resta ta."
140,66,Il genitivo-dativo plurale è ton per tutti e tre i generi (dalla fusione di ton + tois).
141,67,"L'articolo determinativo singolare al nominativo è: o (maschile), i/e (femminile), to (neutro, uguale all'accusativo)."
142,67,"Genitivo-dativo singolare: tu/u (del, al) per m. e neutro; tis/tes (della, alla) per il femminile. Accusativo: ton/to (m.), tin/ti (f.), to (neutro)."
143,68,"L'articolo indeterminativo ai casi diretti: m. e neutro na/ena (uno), femminile mia (nom.)/mian (acc.); la scelta na/ena dipende dai suoni seguenti."
144,68,"Ai casi obliqui (gen.-dat.): m. e neutro anu/ena (di un, a un); femminile anis/mias (di una, a una)."
145,69,"Fenomeni consonantici: raddoppiamento fonosintattico e assimilazione della -n/-s finale alla consonante iniziale della parola seguente; davanti a sonora la -n si conserva, davanti a sorda si assimila."
146,69,"La gamma antica ha esiti diversi: davanti a vocale palatale diventa semiconsonante j, altrove può conservarsi, diventare v, o cadere (es. leo da leggo, laò da lagò)."
147,69,Le doppie consonanti antiche si conservano nella pronuncia; esistono metatesi della r e rotacismo l>r.
148,70,"Fenomeni vocalici: aferesi (caduta di vocale iniziale) e il fenomeno opposto, la protesi (aggiunta di vocale iniziale) e l'anaptissi (aggiunta interna), spesso per motivi eufonici."
149,70,Crasi: due parole in stretta connessione fondono le vocali di contatto in una sola (segnata col circonflesso).
150,70,Sincope: caduta di vocale interna; i dittonghi antichi si chiudono (ai > e); consonanti aspirate possono cadere al nominativo e riaffiorare negli altri casi.
151,71,"La lingua ha tre generi (maschile, femminile, neutro) e flessione nominale con casi: nominativo, genitivo-dativo (forma unica), accusativo, vocativo, più casi retti da preposizioni."
152,71,"Genere neutro conservato: i sostantivi in -ma (da radice verbale, es. gramma da grafo) sono neutri; i frutti sono neutri (sico, milo), gli alberi femminili (sichea, milea)."
153,71,"Molti diminutivi in -i sono neutri anche se derivano da parole maschili/femminili (es. ampari cavallo, sinari zappa)."
154,72,"La trascrizione fonetica proposta segue l'alfabeto greco: k velare sorda dura, ch affricata palatale sorda, g dolce all'italiana, q solo per cai (ogni)."
155,72,"Suoni dentali speciali: la doppia lambda antica dà una d retroflessa/cacuminale (es. addo da allos); il theta antico è per lo più s, ma ti a Martignano e Sternatia."
156,72,Psi e csi mantengono la grafia ps- e x-; le doppie con simboli speciali distinguono sonora da sorda.
157,73,"Il griko è l'antica lingua greca del Salento, parlata ancora oggi in circa sette comuni della provincia di Lecce; Graeci sumus (siamo greci) del Galateo esprime l'identità greca di questa terra."
158,73,La lingua greco-salentina conserva arcaismi fonetici che precedono l'influsso bizantino: la distinzione tra nome del frutto (sico) e dell'albero (sichea) riflette stratificazioni storiche antiche.
